,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,lat,lon
81,Shaanxi,China,20/2/1 05:37,101,0,0,0,35.3939908,109.1880047
82,Guangxi,China,20/2/1 01:52,100,0,2,0,23.7247599,108.8076195
83,Hebei,China,20/2/1 01:52,96,0,0,1,37.8956594,114.9042208
84,Yunnan,China,20/2/1 15:53,93,0,2,0,24.4752847,101.3431058
85,Heilongjiang,China,20/2/1 10:33,80,0,2,2,47.1216472,128.738231
86,Liaoning,China,20/2/1 15:23,64,0,1,0,41.9436543,122.5290376
87,Hainan,China,20/2/1 08:43,62,0,1,1,19.5663947,109.949686
88,Shanxi,China,20/2/1 01:52,47,0,1,0,37.2425649,111.8568586
89,Tianjin,China,20/2/1 15:43,41,0,0,0,39.3433574,117.3616476
90,Gansu,China,20/2/1 15:43,40,0,0,0,35.7518326,104.2861116
91,Guizhou,China,20/1/31 15:20,29,0,2,0,26.8429645,107.2902839
92,Ningxia,China,20/2/1 02:13,26,0,0,0,37.198731,106.1580937
93,Inner Mongolia,China,20/2/1 05:37,23,0,1,0,43.37822,115.0594815
94,0,Japan,20/2/1 18:53,20,0,1,0,36.204824,138.252924
95,0,Thailand,20/1/31 10:37,19,0,5,0,15.870032,100.992541
96,Xinjiang,China,20/2/1 05:37,18,0,0,0,42.5246357,87.5395855
97,Jilin,China,20/2/1 01:52,17,0,1,0,43.1520105,126.4371385
98,0,Singapore,20/2/1 05:37,16,0,0,0,1.352083,103.819836
99,Hong Kong,Hong Kong,20/2/1 05:37,13,0,0,0,22.3193039,114.1693611
100,0,South Korea,20/2/1 10:43,12,0,0,0,35.907757,127.766922
101,Taiwan,Taiwan,20/1/31 15:20,10,0,0,0,23.69781,120.960515
102,Qinghai,China,20/2/1 05:37,9,0,0,0,35.744798,96.4077358
103,0,Malaysia,20/1/31 08:15,8,0,0,0,4.210484,101.975766
104,0,Germany,20/2/1 18:33,8,0,0,0,51.165691,10.451526
105,Macau,Macau,20/1/31 08:15,7,0,0,0,22.198745,113.543873
106,0,France,20/2/1 01:52,6,0,0,0,46.227638,2.213749
107,0,Vietnam,20/2/1 07:38,6,0,1,0,14.058324,108.277199
108,New South Wales,Australia,20/2/1 18:12,4,0,2,0,-31.2532183,146.921099
109,Victoria,Australia,20/2/1 18:12,4,0,0,0,-37.4713077,144.7851531
110,0,United Arab Emirates,20/1/31 08:15,4,0,0,0,23.424076,53.847818
111,Queensland,Australia,20/2/1 18:12,3,0,0,0,-20.9175738,142.7027956
112,Ontario,Canada,20/2/1 18:12,3,0,0,0,51.253775,-85.323214
113,0,Italy,20/1/31 08:15,2,0,0,0,41.87194,12.56738
114,0,Russia,20/1/31 16:13,2,0,0,0,61.52401,105.318756
115,0,UK,20/2/1 01:52,2,0,0,0,55.378051,-3.435973
116,"Chicago, IL",United States,20/2/1 19:43,2,0,0,0,41.8781136,-87.6297982
117,South Australia,Australia,20/2/1 18:12,1,0,0,0,-30.0002315,136.2091547
118,0,Cambodia,20/1/31 08:15,1,0,0,0,12.565679,104.990963
119,British Columbia,Canada,20/2/1 18:12,1,0,0,0,53.7266683,-127.6476205
120,0,Finland,20/1/31 08:15,1,0,0,0,61.92411,25.7481511
121,0,India,20/1/31 08:15,1,0,0,0,20.593684,78.96288
122,Tibet,China,20/2/1 01:52,1,0,0,0,30.1533605,88.7878678
123,0,Nepal,20/1/31 08:15,1,0,0,0,28.394857,84.124008
124,0,Philippines,20/2/1 17:43,1,0,0,0,12.879721,121.774017
125,0,Spain,20/2/1 02:13,1,0,0,0,40.463667,-3.74922
126,0,Sri Lanka,20/1/31 08:15,1,0,0,0,7.873054,80.771797
127,0,Sweden,20/2/1 02:13,1,0,0,0,60.128161,18.643501
128,"Boston, MA",United States,20/2/1 19:43,1,0,0,0,42.3600825,-71.0588801
129,"Los Angeles, CA",United States,20/2/1 19:53,1,0,0,0,34.0522342,-118.2436849
130,"Orange, CA",United States,20/2/1 19:53,1,0,0,0,33.7879139,-117.8531007
131,"Santa Clara, CA",United States,20/2/1 19:53,1,0,0,0,37.3541079,-121.9552356
132,"Seattle, WA",United States,20/2/1 19:43,1,0,0,0,47.6062095,-122.3320708
133,"Tempe, AZ",United States,20/2/1 19:43,1,0,0,0,33.4255104,-111.9400054
134,Hubei,China,20/2/1 10:00,7153,0,168,249,30.7378118,112.2384017
135,Zhejiang,China,20/2/1 10:00,599,0,21,0,29.1416432,119.7889248
136,Guangdong,China,20/2/1 10:00,535,0,14,0,23.3790333,113.7632828
137,Henan,China,20/2/1 10:00,422,0,3,2,34.2904302,113.3823545
138,Hunan,China,20/2/1 10:00,389,0,8,0,27.6252995,111.8568586
139,Anhui,China,20/2/1 10:00,297,0,5,0,30.6006773,117.9249002
140,Jiangxi,China,20/2/1 10:00,286,0,9,0,27.0874564,114.9042208
141,Chongqing,China,20/2/1 10:00,247,0,3,1,29.4315861,106.912251
142,Sichuan,China,20/2/1 10:00,207,0,3,1,30.2638032,102.8054753
143,Shandong,China,20/2/1 10:00,206,0,3,0,35.8939566,117.9249002
144,Jiangsu,China,20/2/1 10:00,202,0,6,0,33.1401715,119.7889248
145,Shanghai,China,20/2/1 10:00,169,0,10,1,31.230416,121.473701
146,Beijing,China,20/2/1 10:00,168,0,9,1,39.9041999,116.4073963
147,Fujian,China,20/2/1 10:00,144,0,0,0,26.4836842,117.9249002
148,Shaanxi,China,20/2/1 10:00,101,0,0,0,35.3939908,109.1880047
149,Guangxi,China,20/2/1 10:00,100,0,2,0,23.7247599,108.8076195
150,Hebei,China,20/2/1 10:00,96,0,0,1,37.8956594,114.9042208
151,Yunnan,China,20/2/1 10:00,91,0,2,0,24.4752847,101.3431058
152,Heilongjiang,China,20/2/1 10:00,80,0,2,2,47.1216472,128.738231
153,Liaoning,China,20/2/1 10:00,63,0,1,0,41.9436543,122.5290376
154,Hainan,China,20/2/1 10:00,62,0,1,1,19.5663947,109.949686
155,Shanxi,China,20/2/1 10:00,47,0,1,0,37.2425649,111.8568586
156,Tianjin,China,20/2/1 10:00,38,0,0,0,39.3433574,117.3616476
157,Gansu,China,20/2/1 10:00,35,0,0,0,35.7518326,104.2861116
158,Guizhou,China,20/2/1 10:00,29,0,2,0,26.8429645,107.2902839
159,Ningxia,China,20/2/1 10:00,26,0,0,0,37.198731,106.1580937
160,Inner Mongolia,China,20/2/1 10:00,23,0,1,0,43.37822,115.0594815
161,Xinjiang,China,20/2/1 10:00,18,0,0,0,42.5246357,87.5395855
162,Jilin,China,20/2/1 10:00,17,0,1,0,43.1520105,126.4371385
163,Hong Kong,Hong Kong,20/2/1 10:00,13,0,0,0,22.3193039,114.1693611
164,Taiwan,Taiwan,20/2/1 10:00,10,0,0,0,23.69781,120.960515
165,Qinghai,China,20/2/1 10:00,9,0,0,0,35.744798,96.4077358
166,Macau,Macau,20/2/1 10:00,7,0,0,0,22.198745,113.543873
167,Tibet,China,20/2/1 10:00,1,0,0,0,30.1533605,88.7878678
